CODIGO,CATEGORIA,SUB CATEGORIA,PROVEDOR,DESCRIPCION
VARIADOR FORWARDN 3F 230V 16A,INVERSOR,VARIADOR,VILLAREAL DIVISION DE EQUIPOS,VARIADOR FORWARDN MP 3X230V 16A
GABINETE ALTAMIRA 5X4X2,CORRIENTE DIRECTA,GABINETE,VILLAREAL DIVISION DE EQUIPOS,GAB.METALICO ALTAMIRA 50X40X20
,,,,
GAB S301,CORRIENTE ALTERNA,GABINETE,DIMEGSA,GABINETE NACIONAL PARA INTERRUPTORES SENTRON ED2 ED6
SIEMENS ED6 100A,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INTERRUPTOR TERMOMAGNETICO SENTRON ED6 100A 240 480 600VCA CON ZAPATAS
MONITOR 34,TUBERIA,,DIMEGSA,MONITOR METALICO EN ZINC DE 3/4
MONITOR 2,TUBERIA,2,DIMEGSA,MONITOR METALICO EN ZINC DE 2
CONTRA 34,TUBERIA,,DIMEGSA,CONTRATUERCA DE 3/4
CONTRA 2,TUBERIA,2,DIMEGSA,CONTRATUERCA DE 2
UNICANAL R 34,TUBERIA,,DIMEGSA,ABRAZADERA UNICANAL DE 3/4 REFORZADO
INICANAL 1,TUBERIA,1,DIMEGSA,ABRAZADERA UNICANAL DE 1 REFORZADO
CONEX LICUA 1,TUBERIA,1,DIMEGSA,CONECTOR RECTO LICUATITE DE 1
CONEX LICUA 114,TUBERIA,1 1/4,DIMEGSA,CONECTOR RECTO LICUATITE DE 1 1/4
CONEX LICUA 34,TUBERIA,,DIMEGSA,CONECTOR RECTO LICUATITE DE 3/4
CONDULET LB 34,TUBERIA,,DIMEGSA,CONDULET SERIE 3 LB 23 DE 3/4
CONDULET LB 1,TUBERIA,1,DIMEGSA,CONDULET SERIE 3 LB 33 DE 1
CONDULET LB 114,TUBERIA,1 1/4,DIMEGSA,CONDULET SERIE 3 LB 43 DE 1 1/4
CONDULET LL 34,TUBERIA,,DIMEGSA,CONDULET SERIE 3 LL 23 DE 3/4
CONDULET LR 34,TUBERIA,,DIMEGSA,CONDULET SERIE 3 LR 23 DE 3/4
CURVA PG 1,TUBERIA,1,DIMEGSA,CODO CON ROSCA DE 1 PULG OMEGA
